# OMIM genemap2 (reconstructed from HPO annotations) — 2026-03-26
# Chromosome	Genomic Position Start	Genomic Position End	Cyto Location	Computed Cyto Location	MIM Number	Gene Symbols	Gene Name	Approved Gene Symbol	Entrez Gene ID	Ensembl Gene ID	Comments	Phenotypes	Mouse Gene Symbol/ID
						-		-				Gene-disease association, 130650 (3), Autosomal dominant; Gene-disease association, 174500 (3), Autosomal dominant; Gene-disease association, 176270 (3), Autosomal dominant; Gene-disease association, 180860 (3), Autosomal dominant; Gene-disease association, 188740 (3), Autosomal dominant; Gene-disease association, 194071 (3), Autosomal dominant; Gene-disease association, 194190 (3), Autosomal dominant; Gene-disease association, 609893 (3), Autosomal dominant; Gene-disease association, 613985 (3), Unknown	
						A2ML1		A2ML1				Gene-disease association, 166760 (3), Autosomal dominant	
						A4GALT		A4GALT				Gene-disease association, 111400 (3), Autosomal dominant	
						AAAS		AAAS				Gene-disease association, 231550 (3), Autosomal recessive	
						AAGAB		AAGAB				Gene-disease association, 148600 (3), Autosomal dominant	
						AARS1		AARS1				Gene-disease association, 613287 (3), Autosomal dominant; Gene-disease association, 616339 (3), Autosomal recessive; Gene-disease association, 619661 (3), Autosomal dominant; Gene-disease association, 619691 (3), Autosomal recessive	
						AARS2		AARS2				Gene-disease association, 614096 (3), Autosomal recessive; Gene-disease association, 615889 (3), Autosomal recessive	
						AASS		AASS				Gene-disease association, 238700 (3), Autosomal recessive	
						ABAT		ABAT				Gene-disease association, 613163 (3), Autosomal recessive	
						ABCA1		ABCA1				Gene-disease association, 205400 (3), Autosomal recessive; Gene-disease association, 604091 (3), Autosomal dominant	
						ABCA12		ABCA12				Gene-disease association, 242500 (3), Autosomal recessive; Gene-disease association, 601277 (3), Autosomal recessive	
						ABCA2		ABCA2				Gene-disease association, 618808 (3), Autosomal recessive	
						ABCA3		ABCA3				Gene-disease association, 610921 (3), Autosomal recessive	
						ABCA4		ABCA4				Gene-disease association, 153800 (3), Autosomal dominant; Gene-disease association, 248200 (3), Autosomal recessive; Gene-disease association, 601718 (3), Autosomal recessive; Gene-disease association, 604116 (3), Autosomal recessive	
						ABCA5		ABCA5				Gene-disease association, 135400 (3), Autosomal recessive	
						ABCA7		ABCA7				Gene-disease association, 608907 (3), Autosomal dominant	
						ABCB1		ABCB1				Gene-disease association, 612244 (3), Unknown; Gene-disease association, 620950 (3), Autosomal recessive	
						ABCB11		ABCB11				Gene-disease association, 601847 (3), Autosomal recessive; Gene-disease association, 602347 (3), Autosomal recessive; Gene-disease association, 605479 (3), Autosomal recessive	
						ABCB4		ABCB4				Gene-disease association, 600803 (3), Autosomal recessive; Gene-disease association, 602347 (3), Autosomal recessive; Gene-disease association, 614972 (3), Autosomal recessive	
						ABCB6		ABCB6				Gene-disease association, 609153 (3), Autosomal dominant; Gene-disease association, 614497 (3), Autosomal dominant; Gene-disease association, 615402 (3), Autosomal dominant	
						ABCB7		ABCB7				Gene-disease association, 301310 (3), Unknown	
						ABCC1		ABCC1				Gene-disease association, 618915 (3), Autosomal dominant	
						ABCC11		ABCC11				Gene-disease association, 117800 (3), Autosomal dominant	
